season,week,player_id,player_name,team,position,fantasy_points,projected_points
2022,2,4241372,Marquise Brown,ARI,WR,12.8,13.72
2022,2,3117256,Dalton Schultz,HOU,TE,1.8,10.14
2022,2,8439,Aaron Rodgers,GB,QB,16.36,19.6
2022,2,2576414,Raheem Mostert,MIA,RB,10.9,8.44
2022,2,4372414,Elijah Moore,NYJ,WR,6.5,11.35
2022,2,3045144,Tyler Boyd,CIN,WR,5.7,8.07
2022,2,4035115,Albert Okwuegbunam,DEN,TE,0.0,8.82
2022,2,16757,Derek Carr,NO,QB,18.98,17.64
2022,2,3025433,Mike Davis,None,RB,0.4,2.57
2022,2,4040980,Irv Smith Jr.,MIN,TE,14.6,6.6
2022,2,2977187,Cooper Kupp,LAR,WR,31.8,20.18
2022,2,3042519,Aaron Jones,GB,RB,32.0,15.35
2022,2,3051392,Ezekiel Elliott,None,RB,5.9,13.32
2022,2,4038941,Justin Herbert,LAC,QB,23.46,21.39
2022,2,4372016,Jaylen Waddle,MIA,WR,40.1,13.17
2022,2,4241555,Elijah Mitchell,SF,RB,0.0,0.0
2022,2,4036133,T.J. Hockenson,MIN,TE,5.6,10.46
2022,2,3119195,Chase Edmonds,TB,RB,5.1,12.93
2022,2,4239934,AJ Dillon,GB,RB,7.7,12.39
2022,2,4240600,Kadarius Toney,KC,WR,2.0,7.47
2022,2,4567156,Treylon Burks,TEN,WR,8.7,8.15
2022,2,2572861,J.D. McKissic,None,RB,13.3,9.56
2022,2,2576623,DeVante Parker,NE,WR,0.0,9.55
2022,2,3122976,Jeff Wilson Jr.,MIA,RB,12.3,11.5
2022,2,4039050,Devin Duvernay,BAL,WR,12.2,6.68
2022,2,3054850,Alvin Kamara,NO,RB,0.0,0.0
2022,2,3126486,Deebo Samuel,SF,WR,14.7,16.62
2022,2,4240021,Cam Akers,LAR,RB,8.2,8.07
2022,2,3040151,George Kittle,SF,TE,0.0,0.0
2022,2,3120348,JuJu Smith-Schuster,NE,WR,4.0,13.41
2022,2,4040655,Darnell Mooney,CHI,WR,0.6,11.55
2022,2,3915511,Joe Burrow,CIN,QB,16.56,17.88
2022,2,15807,Cordarrelle Patterson,ATL,RB,4.1,12.87
2022,2,4569618,Garrett Wilson,NYJ,WR,30.0,8.08
2022,2,4258595,Cole Kmet,CHI,TE,0.0,7.78
2022,2,4241479,Tua Tagovailoa,MIA,QB,38.86,17.17
2022,2,4371733,Kenneth Gainwell,PHI,RB,2.8,6.89
2022,2,2974858,Kenny Golladay,None,WR,0.0,8.77
2022,2,4362887,Justin Fields,CHI,QB,8.8,14.09
2022,2,4362628,Ja'Marr Chase,CIN,WR,10.8,16.8
2022,2,3115364,Leonard Fournette,None,RB,9.4,17.32
2022,2,3045147,James Conner,ARI,RB,7.1,17.47
2022,2,16731,Brandin Cooks,DAL,WR,9.4,13.74
2022,2,4241463,Jerry Jeudy,DEN,WR,2.2,12.71
2022,2,3135321,Hunter Renfrow,LV,WR,10.9,11.68
2022,2,3121023,Dallas Goedert,PHI,TE,13.2,8.69
2022,2,4383351,Trey Lance,SF,QB,2.5,17.98
2022,2,4426502,Drake London,ATL,WR,24.6,11.98
2022,2,4567048,Kenneth Walker III,SEA,RB,3.5,6.02
2022,2,2980453,Jamaal Williams,NO,RB,7.0,9.66
2022,2,4361409,Jahan Dotson,WSH,WR,17.9,8.82
2022,2,14880,Kirk Cousins,MIN,QB,8.84,16.66
2022,2,4036131,Noah Fant,SEA,TE,3.1,7.12
2022,2,4241457,Najee Harris,PIT,RB,13.9,16.3
2022,2,15818,Keenan Allen,LAC,WR,0.0,0.0
2022,2,4427366,Breece Hall,NYJ,RB,13.0,10.14
2022,2,4047650,DK Metcalf,SEA,WR,7.5,12.97
2022,2,2576925,Darren Waller,NYG,TE,17.0,11.51
2022,2,3059915,Kareem Hunt,CLE,RB,9.4,11.51
2022,2,2577417,Dak Prescott,DAL,QB,0.0,0.0
2022,2,4360438,Brandon Aiyuk,SF,WR,11.3,10.66
2022,2,3916433,Jakobi Meyers,LV,WR,18.5,11.08
2022,2,3115378,Russell Gage,TB,WR,7.8,10.42
2022,2,3123076,David Njoku,CLE,TE,6.2,7.81
2022,2,3917792,Daniel Jones,NYG,QB,13.14,16.67
2022,2,2969939,Jameis Winston,NO,QB,7.64,14.89
2022,2,3117251,Christian McCaffrey,SF,RB,16.8,22.38
2022,2,16737,Mike Evans,TB,WR,9.1,13.79
2022,2,3116365,Mark Andrews,BAL,TE,25.7,13.75
2022,2,3045138,Mike Williams,LAC,WR,25.3,14.44
2022,2,4047365,Josh Jacobs,LV,RB,9.1,14.58
2022,2,16460,Adam Thielen,None,WR,9.2,12.05
2022,2,2330,Tom Brady,TB,QB,9.4,18.12
2022,2,15880,Robert Woods,None,WR,7.9,10.37
2022,2,3051738,Marquez Valdes-Scantling,KC,WR,3.3,11.23
2022,2,4240657,Michael Carter,NYJ,RB,10.0,13.39
2022,2,2574808,Robbie Anderson,None,WR,4.2,11.22
2022,2,15072,Marvin Jones Jr.,JAX,WR,6.3,9.07
2022,2,4249417,Jalen Tolbert,DAL,WR,0.0,0.0
2022,2,3116406,Tyreek Hill,MIA,WR,42.0,17.04
2022,2,15847,Travis Kelce,KC,TE,10.1,15.98
2022,2,4360248,Kyle Pitts,ATL,TE,3.9,11.51
2022,2,4035687,Michael Pittman Jr.,IND,WR,0.0,0.0
2022,2,4040761,Devin Singletary,HOU,RB,4.1,11.35
2022,2,3917315,Kyler Murray,ARI,QB,25.88,20.05
2022,2,3925347,Damien Harris,BUF,RB,16.7,11.12
2022,2,12483,Matthew Stafford,LAR,QB,18.88,18.08
2022,2,4046692,Chase Claypool,CHI,WR,6.6,11.87
2022,2,4379399,James Cook,BUF,RB,5.3,1.5
2022,2,16790,Jarvis Landry,NO,WR,6.5,10.57
2022,2,4242433,Joshua Palmer,LAC,WR,13.0,11.99
2022,2,3930066,Van Jefferson,LAR,WR,0.0,0.0
2022,2,3115913,Geronimo Allison,None,WR,0.0,0.0
2022,2,16800,Davante Adams,LV,WR,9.2,18.79
2022,2,2976212,Stefon Diggs,BUF,WR,44.8,17.25
2022,2,4241985,J.K. Dobbins,BAL,RB,0.0,0.0
2022,2,3918298,Josh Allen,BUF,QB,29.68,24.37
2022,2,4045163,Miles Sanders,CAR,RB,11.6,13.36
2022,2,2976499,Amari Cooper,CLE,WR,25.1,10.82
2022,2,4569173,Rhamondre Stevenson,NE,RB,6.1,10.61
2022,2,4360939,Rashod Bateman,BAL,WR,20.8,11.25
2022,2,3139925,Rashaad Penny,PHI,RB,1.5,12.24
2022,2,4052042,James Robinson,NE,RB,15.8,11.39
2022,2,4430191,Skyy Moore,KC,WR,0.0,2.77
2022,2,3115394,DJ Chark,DET,WR,0.0,10.9
2022,2,3121427,Curtis Samuel,WSH,WR,22.9,12.1
2022,2,3918639,Gerald Everett,LAC,TE,13.1,7.89
2022,2,4262921,Justin Jefferson,MIN,WR,10.8,19.73
2022,2,4241389,CeeDee Lamb,DAL,WR,15.1,13.7
2022,2,3128720,Nick Chubb,CLE,RB,32.3,14.87
2022,2,4239996,Travis Etienne Jr.,JAX,RB,8.3,10.27
2022,2,3916387,Lamar Jackson,BAL,QB,42.62,20.62
2022,2,2976316,Michael Thomas,NO,WR,18.5,12.26
2022,2,4360238,Dameon Pierce,HOU,RB,8.7,10.45
2022,2,3916148,Tony Pollard,DAL,RB,19.8,9.19
2022,2,3128390,Allen Lazard,NYJ,WR,9.3,11.37
2022,2,3930086,Dawson Knox,BUF,TE,8.1,8.62
2022,2,4048244,Alexander Mattison,MIN,RB,4.4,4.8
2022,2,4426354,George Pickens,PIT,WR,3.3,8.76
2022,2,13982,Julio Jones,TB,WR,0.0,0.0
2022,2,15971,Rex Burkhead,HOU,RB,2.9,11.43
2022,2,2979843,Kenyan Drake,BAL,RB,0.8,13.86
2022,2,3116593,Dalvin Cook,MIN,RB,7.6,17.96
2022,2,4259545,D'Andre Swift,DET,RB,16.7,15.63
2022,2,4047646,A.J. Brown,PHI,WR,11.9,14.98
2022,2,3139477,Patrick Mahomes,KC,QB,17.3,22.26
2022,2,4243537,Gabe Davis,BUF,WR,0.0,0.0
2022,2,4242214,Clyde Edwards-Helaire,KC,RB,15.8,12.24
2022,2,4241478,DeVonta Smith,PHI,WR,15.0,10.96
2022,2,15835,Zach Ertz,ARI,TE,15.5,8.87
2022,2,4361370,Chris Olave,NO,WR,11.0,8.5
2022,2,16782,Jerick McKinnon,KC,RB,9.6,7.7
2022,2,2573401,Tyler Higbee,LAR,TE,14.1,9.11
2022,2,4360310,Trevor Lawrence,JAX,QB,18.5,15.71
2022,2,4361529,Isiah Pacheco,KC,RB,0.6,2.54
2022,2,3126246,Dontrell Hilliard,TEN,RB,0.0,0.0
2022,3,3068267,Austin Ekeler,LAC,RB,13.3,18.75
2022,3,4361579,Javonte Williams,DEN,RB,9.0,14.53
2022,3,3915416,DJ Moore,CHI,WR,2.5,13.31
2022,3,4239993,Tee Higgins,CIN,WR,14.3,13.81
2022,3,3932905,Diontae Johnson,PIT,WR,16.4,13.73
2022,3,4040715,Jalen Hurts,PHI,QB,27.6,23.93
2022,3,4360294,Antonio Gibson,WSH,RB,11.0,14.65
2022,3,2577327,Tyler Lockett,SEA,WR,16.6,12.41
2022,3,15795,DeAndre Hopkins,ARI,WR,0.0,0.0
2022,3,3916430,Nyheim Hines,BUF,RB,8.0,9.15
2022,3,4361411,Pat Freiermuth,PIT,TE,6.1,11.64
2022,3,4039359,Darrell Henderson Jr.,None,RB,1.7,10.68
2022,3,4426388,Jameson Williams,DET,WR,0.0,0.0
2022,3,4373626,Tyler Allgeier,ATL,RB,4.0,6.48
2022,3,3046779,Jared Goff,DET,QB,13.88,16.19
2022,3,2977187,Cooper Kupp,LAR,WR,16.4,21.73
2022,3,3042519,Aaron Jones,GB,RB,5.7,13.83
2022,3,3051392,Ezekiel Elliott,None,RB,14.5,13.76
2022,3,4038941,Justin Herbert,LAC,QB,12.58,20.24
2022,3,4372016,Jaylen Waddle,MIA,WR,15.1,16.71
2022,3,4241555,Elijah Mitchell,SF,RB,0.0,0.0
2022,3,4036133,T.J. Hockenson,MIN,TE,10.8,11.38
2022,3,3119195,Chase Edmonds,TB,RB,15.7,11.41
2022,3,4239934,AJ Dillon,GB,RB,5.8,12.55
2022,3,4567156,Treylon Burks,TEN,WR,3.1,10.87
2022,3,2572861,J.D. McKissic,None,RB,10.0,9.17
2022,3,3122976,Jeff Wilson Jr.,MIA,RB,11.6,12.12
2022,3,4036348,Michael Gallup,DAL,WR,0.0,8.41
2022,3,2976592,Sterling Shepard,NYG,WR,9.9,11.29
2022,3,16760,Jimmy Garoppolo,LV,QB,8.44,14.38
2022,3,4362628,Ja'Marr Chase,CIN,WR,12.7,18.14
2022,3,3115364,Leonard Fournette,None,RB,12.0,17.59
2022,3,3045147,James Conner,ARI,RB,8.7,14.77
2022,3,16731,Brandin Cooks,DAL,WR,4.2,14.67
2022,3,4241463,Jerry Jeudy,DEN,WR,3.7,11.92
2022,3,3135321,Hunter Renfrow,LV,WR,0.0,0.0
2022,3,3121023,Dallas Goedert,PHI,TE,11.6,9.7
2022,3,4383351,Trey Lance,SF,QB,0.0,0.0
2022,3,4426502,Drake London,ATL,WR,14.4,13.25
2022,3,4567048,Kenneth Walker III,SEA,RB,6.3,6.45
2022,3,2980453,Jamaal Williams,NO,RB,24.7,8.1
2022,3,4361409,Jahan Dotson,WSH,WR,3.0,9.72
2022,3,14880,Kirk Cousins,MIN,QB,18.3,18.39
2022,3,4036131,Noah Fant,SEA,TE,6.7,6.68
2022,3,3115375,Darrel Williams,ARI,RB,0.7,3.64
2022,3,3043078,Derrick Henry,TEN,RB,25.3,17.43
2022,3,3116385,Joe Mixon,CIN,RB,6.8,17.89
2022,3,4035538,David Montgomery,DET,RB,1.1,15.26
2022,3,4374302,Amon-Ra St. Brown,DET,WR,13.3,17.7
2022,3,3116165,Chris Godwin,TB,WR,0.0,0.0
2022,3,16799,Allen Robinson II,LAR,WR,4.3,11.5
2022,3,14881,Russell Wilson,DEN,QB,9.06,17.79
2022,3,3895856,Christian Kirk,JAX,WR,19.2,13.98
2022,3,4035886,Khalil Herbert,CHI,RB,30.9,6.34
2022,3,2576434,Melvin Gordon III,None,RB,16.5,9.3
2022,3,3046439,Hunter Henry,NE,TE,1.8,7.67
2022,3,4035004,Mecole Hardman,KC,WR,1.2,11.25
2022,3,16733,Odell Beckham Jr.,None,WR,0.0,0.0
2022,3,16813,Logan Thomas,WSH,TE,2.5,8.69
2022,3,3054850,Alvin Kamara,NO,RB,7.3,18.24
2022,3,3126486,Deebo Samuel,SF,WR,12.9,17.74
2022,3,4240021,Cam Akers,LAR,RB,10.1,10.8
2022,3,3040151,George Kittle,SF,TE,6.8,12.64
2022,3,3120348,JuJu Smith-Schuster,NE,WR,13.9,11.27
2022,3,4040655,Darnell Mooney,CHI,WR,4.3,9.73
2022,3,3915511,Joe Burrow,CIN,QB,23.0,18.35
2022,3,15807,Cordarrelle Patterson,ATL,RB,22.3,12.03
2022,3,4569618,Garrett Wilson,NYJ,WR,12.0,12.67
2022,3,4258595,Cole Kmet,CHI,TE,6.0,6.38
2022,3,4241479,Tua Tagovailoa,MIA,QB,11.44,17.67
2022,3,4371733,Kenneth Gainwell,PHI,RB,0.6,6.23
2022,3,2974858,Kenny Golladay,None,WR,0.0,5.95
2022,3,4362887,Justin Fields,CHI,QB,4.94,15.32
2022,3,4242335,Jonathan Taylor,IND,RB,12.1,19.66
2022,3,3929630,Saquon Barkley,NYG,RB,22.6,17.94
2022,3,3121422,Terry McLaurin,WSH,WR,16.2,13.27
2022,3,3128429,Courtland Sutton,DEN,WR,17.7,13.5
2022,3,4241372,Marquise Brown,ARI,WR,28.0,13.48
2022,3,3117256,Dalton Schultz,HOU,TE,0.0,0.0
2022,3,8439,Aaron Rodgers,GB,QB,16.1,16.21
2022,3,2576414,Raheem Mostert,MIA,RB,1.1,8.86
2022,3,4372414,Elijah Moore,NYJ,WR,8.9,11.3
2022,3,3045144,Tyler Boyd,CIN,WR,20.5,7.05
2022,3,4035115,Albert Okwuegbunam,DEN,TE,2.2,7.44
2022,3,16757,Derek Carr,NO,QB,19.82,17.88
2022,3,3025433,Mike Davis,None,RB,0.0,4.32
2022,3,4040980,Irv Smith Jr.,MIN,TE,5.2,8.05
2022,3,3117251,Christian McCaffrey,SF,RB,13.5,21.19
2022,3,16737,Mike Evans,TB,WR,0.0,0.0
2022,3,3116365,Mark Andrews,BAL,TE,28.9,15.69
